monthly_rent,monthly_aconto,housing_type,size_sqm,rooms,floor,furnished,roommate_friendly,pets_allowed,elevator,senior_friendly,students_only,balcony_terrace,parking,dishwasher,washing_machine,charging_station,dryer,deposit,prepaid_rent,energy_mark,area,availability_in,days_on_website,total_monthly_rent,months_on_website
12850.0,1350.0,Lejlighed,86.0,3,3,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ikke angivet,Ja,Ikke angivet,Ikke angivet,38550.0,0.0,D,Frederiksberg C,<1 month,10.0,14200.0,<1 month
15700.0,1224.0,Lejlighed,113.0,4,4,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Nej,Ja,47100.0,15700.0,A15,Bagsværd,1-3 months,10.0,16924.0,<1 month
5000.0,1000.0,Værelse,9.0,1,0,Ja,Ja,Nej,Nej,Nej,Nej,Ja,Ja,Ikke angivet,Ja,Ikke angivet,Ja,15000.0,0.0,A20,Kastrup,1-3 months,10.0,6000.0,<1 month
3500.0,500.0,Værelse,14.0,1,0,Ja,Ja,Nej,Nej,Nej,Nej,Ja,Ja,Nej,Ja,Nej,Ja,4000.0,3500.0,C,København S,1-3 months,10.0,4000.0,<1 month
4650.0,0.0,Værelse,7.0,1,4,Ja,Nej,Nej,Ja,Nej,Ja,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,9300.0,0.0,none,København V,<1 month,10.0,4650.0,<1 month
14000.0,1000.0,Lejlighed,98.0,3,0,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,42000.0,42000.0,none,Kongens Lyngby,<1 month,10.0,15000.0,<1 month
8600.0,450.0,Lejlighed,40.0,1,3,Nej,Nej,Nej,Ja,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,25800.0,8600.0,none,Valby,1-3 months,11.0,9050.0,<1 month
17000.0,1120.0,Lejlighed,105.0,4,1,Nej,Ja,Nej,Nej,Nej,Nej,Ja,Nej,Ja,Ja,Ikke angivet,Ja,51000.0,51000.0,A10,København NV,1-3 months,11.0,18120.0,<1 month
11900.0,600.0,Lejlighed,84.0,3,5,Nej,Ja,Ja,Nej,Nej,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,35700.0,11900.0,none,Vallensbæk Strand,<1 month,11.0,12500.0,<1 month
7500.0,450.0,Lejlighed,31.0,1,0,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,22500.0,7500.0,A15,Valby,<1 month,11.0,7950.0,<1 month
23000.0,1200.0,Lejlighed,116.0,3,3,Nej,Ja,Ja,Ja,Ikke angivet,Ikke angivet,Ikke angivet,Ja,Ja,Ja,Ikke angivet,Ja,69000.0,23000.0,none,København V,1-3 months,11.0,24200.0,<1 month
16000.0,0.0,Lejlighed,81.0,3,0,Ja,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Ja,Ikke angivet,Ikke angivet,8000.0,16000.0,C,København Ø,<1 month,11.0,16000.0,<1 month
