breadcrumb,title,description,address,monthly_rent,monthly_aconto,move_in_price,available_from,rental_period,Boligtype,Størrelse,Værelser,Etage,Møbleret,Delevenlig,Husdyr tilladt,Elevator,Seniorvenlig,Kun for studerende,Altan/terrasse,Parkering,Opvaskemaskine,Vaskemaskine,Ladestander,Tørretumbler,Lejeperiode,Ledig fra,Månedlig leje,Aconto,Depositum,Forudbetalt husleje,Indflytningspris,Oprettelsesdato,Sagsnr.,energy_mark_src,Energimærke 
Hjem > Lejligheder > København > 3 værelses > Frederiksberg C > Hjem > Lejligheder > København > 3 værelses > Frederiksberg C,"Furnished apartment, 2 bedroom","Fully furnished charming apartment for rent in Frederiksberg - close to the City. 

2-bedroom apartment of 86 square metres, with furniture, utensils, bed linen and towels, TV and stereo,, broadband etc. 

Close to the city and the Metro Station Forum, good shopping facilities and local coffee
shops etc.

It is ideal for singles and couples on temporary assignments in Copenhagen.  

Available from November1st  2024 for 6 months up to 3 years.

Staff from international companies or major international organisations preferred.","3 timer siden, Erik Menveds Vej, 1965 København, Frederiksberg C  - 3. sal",12.850 kr.,1350 kr.,52.750 kr.,Snarest muligt,52.750 kr.,Lejlighed,86 m²,3.0,3.,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ikke angivet,Ja,Ikke angivet,Ikke angivet,24+ måneder,Snarest muligt,12.850 kr.,1.350 kr.,38.550 kr.,0 kr.,52.750 kr.,7.9.2024,5080588,/static/images/energy_labels/D_str2.png,
Hjem > Lejligheder > København > 4 værelses > Bagsværd > Hjem > Lejligheder > København > 4 værelses > Bagsværd,Velindrettet 4-værelses lejlighed på 113 m2 med BÅDE privat altan og privat tagterrasse i hjertet af Bagsværd,"Indretning:

Velkommen indefor i denne store 4-værelses lejlighed som byder på et dejligt stort lyst køkken-alrum med udgang til altan. Et stort badeværelse med kombi vaskemaskine og bruseniche. Samt 3 skønne soveværelser som er lyse og rummelige og med udgang til privat tagterasse fra det ene værelse.

Ejendommen:

Denne attraktive ejendom er fra 2019. Alle boligerne på Krogshøjvej er beliggende i den del af ejendomme som kaldes Købmandsgården, som er dejlig lys og har flot udsigt. Ejendommen har udkragende facader og variation i højden, der forskydes op til 9 etager, hvilket skaber en dynamisk fremtoning. Om end den udstråler en arkitektonisk æstetik fra inderst til yderst, er det også en funktionel bolig, der lever op til den moderne families behov. Tilknyttet matriklen er en hævet atriumgård med hyggelige bede og bænkesæt. Moderne planløsning og kvalitetsmaterialer. Disse 154 attraktive lejemål udbydes i varierende størrelsesordener fra 57 m2 til 133 m2, så I kan frit vælge mellem to- til femværelseslejligheder. På denne måde henvender de sig til en bred målgruppe fra den enlige og børnefamilien til det unge par og seniorerne, således at der skabes en mangfoldig sammensætning af beboere. Boligerne byder på kvalitetsmaterialer, heriblandt vaskefaciliteter og hårde hvidevarer fra Siemens, Svane-køkken samt praktisk skabsplads i soveværelserne. Desuden er der elevator, gulvvarme, dørtelefon samt cykelparkering og mulighed for at leje parkeringsplads i kælderen.

Område:

Beliggenheden er helt i top med Bagsværd Sø, indkøb, skole og daginstitution omkring én kilometer fra adressen. Indenfor samme afstand finder I også busforbindelser, S-togsstation og Hillerødmotorvej, hvorfra København kan nås på cirka et kvarter. Alt i alt perfekt til den kvalitetsbevidste familie, der ønsker en bolig nær hverdagens gøremål.","9 timer siden, Laurentsvej, 2880 København, Bagsværd  - 4. sal",15.700 kr.,1224 kr.,79.724 kr.,15. november 2024,79.724 kr.,Lejlighed,113 m²,4.0,4.,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ubegrænset,15. november 2024,15.700 kr.,1.224 kr.,47.100 kr.,15.700 kr.,79.724 kr.,7.9.2024,5455654,/static/images/energy_labels/A15_str2.png,
Hjem > Værelser > København > 1 værelses > Kastrup > Hjem > Værelser > København > 1 værelses > Kastrup,Brand new room for rent in newly build house,"9m2 værelse i nybygget hus til leje 
(kan lejes både som korttidsudlejning og langtidsudlejning)

-Cirka 1km til nærmest metro Vestamager station (som tager dig til byen Kongens Nytorv station på 12 minutter) 
- Cpr inkluderet 
- Alt utilities inkluderet 
- Værelse kan udlejes møbleret med (seng, klædeskab og skrivebord)
- Opsigelse vil være løbende måned + 2 måneder.
- Prisen er 5000 kr. + 1000 kr. i Aconto, hvor varme, internet, el og vand er dækket.
- Fri adgang til te-køkken og 2 badeværelser som er til deling. 
- Fri brug af Vaskesmaskine - tørretumbler, køleskab, ovn og kogeplade 
- Ingen husdyr eller rygning er tilladt på grunden
- Plantegning er vedhæftet 
- Billed af selve huset udvendigt er vedhæftet (huset er først færdigbygget i midt november og derfor er der et billed af hvordan værelse cirka vil se ud som nybyg)

9m2 room in a newly built house for rent
(can be rented both as a short-term rental and long-term rental)

-Approximately 1km to the nearest metro Vestamager station (which takes you to the city Kongens Nytorv station in 12 minutes)
- Cpr included
- All utilities included
- Room can be rented furnished with (bed, wardrobe and desk)
- Termination will be current month + 2 months.
- The price is DKK 5000 + DKK 1000 in utilities, where heat, internet, electricity and water are covered.
- Free access to tea kitchen and 2 bathrooms which are shared.
- Free use of washing machine - tumble dryer, fridge, oven and hob
- No pets or smoking is allowed on the property
- Floor plan is attached
- A picture of the outside of the house itself is attached (the house was only completed in mid-November and therefore there is a picture of what the room will look like as a new build)","11 timer siden, Pilegård Alle, 2770 København, Kastrup",5.000 kr.,1000 kr.,21.000 kr.,1. december 2024,21.000 kr.,Værelse,9 m²,1.0,-,Ja,Ja,Nej,Nej,Nej,Nej,Ja,Ja,Ikke angivet,Ja,Ikke angivet,Ja,Ubegrænset,1. december 2024,5.000 kr.,1.000 kr.,15.000 kr.,0 kr.,21.000 kr.,7.9.2024,5455638,/static/images/energy_labels/A20_str2.png,
Hjem > Værelser > København > 1 værelses > København S > Hjem > Værelser > København > 1 værelses > København S,Værelse i Villa ved strand og Metro,"Et værelse udlejes i en skøn villa i et dejligt kvarter lige ved stranden og metro.
Værelset er møbleret (lidt anderledes end på fotos, værelset har en dobbeltseng og et stort tøjskab). 
Husleje er 3500 kr. Forbrug er 500 kr.
Vi søger en pålidelig, ansvarlig og rolig lejer. 
Køkken, badeværelse og indgang deles med sød 25 årig kvinde fra Japan.

One room for rent in a beautiful house in a nice and safe neighbourhood close to the city, beach and metro.
The rent is 3500 kr a month. Utilities are 500 kr a month
Bathroom, kitchen and private entrance, shared with a 25 year old Japanese girl.
The room is furnished (slightly different than in the photos - the room has a double bed and large cabinet).
We hope to find a reliable, trustworthy, nice and considerate tennant.
 
Venlig hilsen/best regards, Laila","11 timer siden, Borneovej, 2300 København, København S",3.500 kr.,500 kr.,11.500 kr.,1. november 2024,11.500 kr.,Værelse,14 m²,1.0,-,Ja,Ja,Nej,Nej,Nej,Nej,Ja,Ja,Nej,Ja,Nej,Ja,Ubegrænset,1. november 2024,3.500 kr.,500 kr.,4.000 kr.,3.500 kr.,11.500 kr.,7.9.2024,5144039,/static/images/energy_labels/C_str2.png,
Hjem > Værelser > København > 1 værelses > København V > Hjem > Værelser > København > 1 værelses > København V,Small Single Room,"Hi there!

Are you going to study in Copenhagen
and interested in living on trendy Vesterbro in an international atmosphere?

We are a hotel and also a Residence for young people (but not a hostel or a dorm),

You will have your own room but with shared bathroom. The room is furnished with one bed, 1 chair, small table, and a hanger.

OBS!(shared bathroom is outside the room in the hallway). 

You will have access to the following common areas: A big kitchen where you can cook, fully equipped with stove, oven, microwave, dishwasher. A living room or chilling area if you wanna hang out with our other guests. 

YOU CAN REGISTER YOUR CPR HERE!
max 1 person.

Along with the rent, you also pay a deposit (equivalent to 2 months rent).

 About the location:
- We are 500 mts from the Central Station
- Have supermarkets all around us
- Restaurants and the meat packing district very close
- Gym 150 mts

The moving in date is from 10th of September
The minimum stay is 60 days, but of course you can stay longer.","13 timer siden, Vesterbrogade, 1620 København, København V  - 4. sal",4.650 kr.,0 kr.,13.950 kr.,Snarest muligt,13.950 kr.,Værelse,7 m²,1.0,4.,Ja,Nej,Nej,Ja,Nej,Ja,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,1-11 måneder,Snarest muligt,4.650 kr.,0 kr.,9.300 kr.,0 kr.,13.950 kr.,7.9.2024,5455643,none,-
Hjem > Lejligheder > København > 3 værelses > Kongens Lyngby > Hjem > Lejligheder > København > 3 værelses > Kongens Lyngby,Stor lys lejlighed med fantastisk beliggenhed.,"Er du til lækker lys lejlighed med PRIVAT HAVE i næste ""nyt"" byggeri.

Så er denne lejlighed lige noget for dig.

Lejligheden ligger i en bygning med kun 7 andre lejligheder fordelt på 2 etager.

Denne lejlighed er en stue lejlighed med egen privat have med plads til møbler og grill. (Ca. 70 m2)

Lejligheden består af 3 store lyse rum , 2 værelser og en stue/køkken alrum.
Stort lækkert kælderrum som er tørt og opvarmet følger med.

Hårde hvidevare inkl.
Køle/frys
Vaskemaskine/tørretumbler
Opvaskemaskine
Ovn/kogeplade

Bygningen ligger centralt med ca. 2km til Lyngby Centrum og med den nye Let-bane løbende lige forbi.

Husdyr er IKKE tilladt.
Lejligheden lejes IKKE ud som delelejlighed.


Aconto ca. :
Varme : 400,-
Vand: 600,-

Parkeringsplads kan lejes for 250,- pr. måned.","15 timer siden, Buddingevej, 2800 København, Kongens Lyngby  - Stuen",14.000 kr.,1000 kr.,99.000 kr.,Snarest muligt,99.000 kr.,Lejlighed,98 m²,3.0,Stuen,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,Ubegrænset,Snarest muligt,14.000 kr.,1.000 kr.,42.000 kr.,42.000 kr.,99.000 kr.,7.9.2024,5455640,none,-
Hjem > Lejligheder > København > 1 værelses > Valby > Hjem > Lejligheder > København > 1 værelses > Valby,NYBYGGET 1-VÆRELSES I VALBY,"På Mutzuvej i Valby udlejer vi 1- og 2-værelses lejligheder. Størstedelen af de 2-værelses lejligheder er delevenlige.

Hårde hvidevarer
Der er et lille køle- og fryseskab, emhætte og 2-zoners kogeplade i alle lejligheder. Der er vaskefaciliteter i kælderen.

Husdyr
Lejere kan ansøge om tilladelse til at holde én indekat. 

Fælles arealer
Du får adgang til et hyggeligt gårdrum med bede, stauder og japanske træer, hvor der er plads til at mødes med naboerne eller vennerne og nyde de varme sommeraftener. Trænger du til lidt luft om ørerne, har du adgang til en fælles tagterrasse med et drivhus og flere siddepladser.

Hvis vejret driller, kan I rykke ind i fællesrummet, hvor der også er plads til at hygge og spise med vennerne, hvis lejligheden bliver for trang.

De viste billeder kan være fra et andet men tilsvarende lejemål i samme ejendom. Mindre afvigelser kan derfor forekomme.","I går, Mutzuvej, 2500 København, Valby  - 3. sal",8.600 kr.,450 kr.,43.450 kr.,1. november 2024,43.450 kr.,Lejlighed,40 m²,1.0,3.,Nej,Nej,Nej,Ja,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ubegrænset,1. november 2024,8.600 kr.,450 kr.,25.800 kr.,8.600 kr.,43.450 kr.,6.9.2024,5220073,none,-
Hjem > Lejligheder > København > 4 værelses > København Nv > Hjem > Lejligheder > København > 4 værelses > København Nv,DEJLIG 4-VÆRELSES I KØBENHAVN NV,"På Frederiksborgvej i København NV udlejer vi store 2- til 4-værelses lejligheder. Boligerne er oplagte til både singler, par, studerende, roomies eller den lille familie.

Lejlighederne er indrettet med køkken-alrum, badeværelser, depot og 2-3 værelser. Lejlighederne har alt i hårde hvidevarer, og nogle af boligerne har egen altan eller terrasse.

Hårde hvidevarer
I lejlighederne er der alt i hårde hvidevarer.

Husdyr
Det er muligt at ansøge om tilladelse til at holde én indekat. Kontakt os for mere information. 

Parkering
Der er ikke tilknyttet parkering til ejendommen.

Fælles arealer
Som lejer på Frederiksborgvej får du også adgang til en skøn, fælles gård, hvor de mindste kan slå sig løs på legepladsen.

De viste billeder kan være fra et andet men tilsvarende lejemål i samme ejendom. Mindre afvigelser kan derfor forekomme.","I går, Frederiksborgvej, 2400 København, København NV  - 1. sal",17.000 kr.,1120 kr.,120.120 kr.,1. december 2024,120.120 kr.,Lejlighed,105 m²,4.0,1.,Nej,Ja,Nej,Nej,Nej,Nej,Ja,Nej,Ja,Ja,Ikke angivet,Ja,Ubegrænset,1. december 2024,17.000 kr.,1.120 kr.,51.000 kr.,51.000 kr.,120.120 kr.,6.9.2024,5455634,/static/images/energy_labels/A10_str2.png,
Hjem > Lejligheder > København > 3 værelses > Vallensbæk Strand > Hjem > Lejligheder > København > 3 værelses > Vallensbæk Strand,3-VÆRELSES LEJLIGHED MED ALTAN - VALLENSBÆK STRAND,"På Vejlesvinget udlejer vi 1- til 5-værelses lejligheder til dig, der ønsker en nem hverdag i et familievenligt område og samtidig gerne vil have en topmoderne bolig. Du får et dejligt køkken-alrum, 1-4 værelser, depotrum enten i boligen eller i kælderen og et skønt badeværelse, hvor nogle lejemål endda har badekar. Enkelte boliger får glæde af et skønt walk-in-closet.

Størstedelen af lejlighederne har egen altan eller terrasse. Flere lejligheder har tilmed både altan og tagterrasse, hvor de højest placerede lejligheder har udsigt over Køge Bugt.

Hårde hvidevarer
Boligerne har alt i hårde hvidevarer.

Husdyr
Lejere kan ansøge om tilladelse til at holde én indekat og hund. Kontakt os for mere information. 

Parkering
Du kan leje en p-plads i ejendommens to parkeringskældre, men der er også enkelte pladser i gården. I p-kælderen finder du el-ladestanderne. Der er cykelparkering i ejendommens gårdrum.

Fælles arealer
Gårdmiljøet byder på grønne fællesarealer og åbne gårdhaver, hvor man kan hygge sig med en god bog eller eftermiddagskaffen. Til de yngste beboere er der en legeplads i naturfarver. Udearealerne lægger i sin helhed op til at dyrkedet gode naboskab.

De viste billeder kan være fra et andet men tilsvarende lejemål i samme ejendom. Mindre afvigelser kan derfor forekomme.","I går, Dagmarhaven, 2665 København, Vallensbæk Strand  - 5. sal",11.900 kr.,600 kr.,60.100 kr.,15. september 2024,60.100 kr.,Lejlighed,84 m²,3.0,5.,Nej,Ja,Ja,Nej,Nej,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,Ubegrænset,15. september 2024,11.900 kr.,600 kr.,35.700 kr.,11.900 kr.,60.100 kr.,6.9.2024,5455633,none,-
Hjem > Lejligheder > København > 1 værelses > Valby > Hjem > Lejligheder > København > 1 værelses > Valby,DEJLIG 1'ER I VALBY,"På Mutzuvej i Valby udlejer vi 1- og 2-værelses lejligheder. Størstedelen af de 2-værelses lejligheder er delevenlige.

Hårde hvidevarer
Der er et lille køle- og fryseskab, emhætte og 2-zoners kogeplade i alle lejligheder. Der er vaskefaciliteter i kælderen.

Husdyr
Lejere kan ansøge om tilladelse til at holde én indekat. Kontakt os for mere information. 

Fælles arealer
Du får adgang til et hyggeligt gårdrum med bede, stauder og japanske træer, hvor der er plads til at mødes med naboerne eller vennerne og nyde de varme sommeraftener. Trænger du til lidt luft om ørerne, har du adgang til en fælles tagterrasse med et drivhus og flere siddepladser.

Hvis vejret driller, kan I rykke ind i fællesrummet, hvor der også er plads til at hygge og spise med vennerne, hvis lejligheden bliver for trang.

De viste billeder kan være fra et andet men tilsvarende lejemål i samme ejendom. Mindre afvigelser kan derfor forekomme.","I går, Mutzuvej, 2500 København, Valby",7.500 kr.,450 kr.,37.950 kr.,1. oktober 2024,37.950 kr.,Lejlighed,31 m²,1.0,-,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ubegrænset,1. oktober 2024,7.500 kr.,450 kr.,22.500 kr.,7.500 kr.,37.950 kr.,6.9.2024,5455632,/static/images/energy_labels/A15_str2.png,
