housing_type,size_sqm,rooms,floor,furnished,roommate_friendly,pets_allowed,elevator,senior_friendly,students_only,balcony_terrace,parking,dishwasher,washing_machine,charging_station,dryer,energy_mark,area,availability_in,days_on_website,months_on_website,monthly_rent_log,monthly_aconto_log,deposit_log,prepaid_rent_log,total_monthly_rent_log
Lejlighed,86.0,3,3,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ikke angivet,Ja,Ikke angivet,Ikke angivet,D,Frederiksberg C,<1 month,10.0,<1 month,9.461176908307142,7.208600337960199,10.559737318992255,0.0,9.561067663645012
Lejlighed,113.0,4,4,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Nej,Ja,A15,Bagsværd,1-3 months,10.0,<1 month,9.661479683575521,7.110696122978827,10.76004951120163,9.661479683575521,9.736547097780475
Værelse,9.0,1,0,Ja,Ja,Nej,Nej,Nej,Nej,Ja,Ja,Ikke angivet,Ja,Ikke angivet,Ja,A20,Kastrup,1-3 months,10.0,<1 month,8.517393171418904,6.90875477931522,9.61587214452889,0.0,8.699681400989514
Værelse,14.0,1,0,Ja,Ja,Nej,Nej,Nej,Nej,Ja,Ja,Nej,Ja,Nej,Ja,C,København S,1-3 months,10.0,<1 month,8.160803920954665,6.2166061010848646,8.294299608857235,8.160803920954665,8.294299608857235
Værelse,7.0,1,4,Ja,Nej,Nej,Ja,Nej,Ja,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,none,København V,<1 month,10.0,<1 month,8.444837529224097,0.0,9.137877200242468,0.0,8.444837529224097
Lejlighed,98.0,3,0,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,none,Kongens Lyngby,<1 month,10.0,<1 month,9.546884034617925,6.90875477931522,10.645448706505872,10.645448706505872,9.61587214452889
Lejlighed,40.0,1,3,Nej,Nej,Nej,Ja,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,none,Valby,1-3 months,11.0,<1 month,9.059633754551479,6.111467339502679,10.158168529848494,9.059633754551479,9.11063052782717
Lejlighed,105.0,4,1,Nej,Ja,Nej,Nej,Nej,Nej,Ja,Nej,Ja,Ja,Ikke angivet,Ja,A10,København NV,1-3 months,11.0,<1 month,9.741027444837728,7.02197642307216,10.839600519357369,10.839600519357369,9.804826765712157
Lejlighed,84.0,3,5,Nej,Ja,Ja,Nej,Nej,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,none,Vallensbæk Strand,<1 month,11.0,<1 month,9.38437770918244,6.398594934535208,10.482933978579906,9.38437770918244,9.433563920090563
Lejlighed,31.0,1,0,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,A15,Valby,<1 month,11.0,<1 month,8.922791623969637,6.111467339502679,10.021315031649332,8.922791623969637,8.981052985901483
Lejlighed,116.0,3,3,Nej,Ja,Ja,Ja,Ikke angivet,Ikke angivet,Ikke angivet,Ja,Ja,Ja,Ikke angivet,Ja,none,København V,1-3 months,11.0,<1 month,10.043292972227004,7.0909098220799835,11.141876276228,10.043292972227004,10.094149233605084
Lejlighed,81.0,3,0,Ja,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Ja,Ikke angivet,Ikke angivet,C,København Ø,<1 month,11.0,<1 month,9.680406499268875,0.0,8.987321812850125,9.680406499268875,9.680406499268875
Værelse,15.0,1,0,Ja,Nej,Nej,Nej,Nej,Nej,Ja,Nej,Ja,Ja,Ikke angivet,Ja,none,København SV,<1 month,11.0,<1 month,8.682877107057168,0.0,9.781376414141157,8.682877107057168,8.682877107057168
Lejlighed,46.0,1,3,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Ja,Ikke angivet,Ja,Ja,Ja,A15,Skovlunde,<1 month,11.0,<1 month,9.164401140034737,6.311734809152915,10.262943625547717,9.164401140034737,9.220389707829185
Værelse,90.0,1,1,Ja,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Ja,Ikke angivet,Ikke angivet,C,København K,<1 month,11.0,<1 month,9.711176264112805,7.244941546337007,10.809748150372926,0.0,9.792611856190192
Lejlighed,91.0,4,2,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Ja,none,Herlev,1-3 months,11.0,<1 month,9.581972891547895,6.621405651764134,10.680539205318292,9.581972891547895,9.632400353656184
Lejlighed,45.0,2,2,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Ja,none,Herlev,1-3 months,11.0,<1 month,9.15915233520675,5.303304908059076,10.25769445336048,9.15915233520675,9.179984251961283
Lejlighed,81.0,3,1,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Ja,none,Herlev,1-3 months,11.0,<1 month,9.503084610020228,6.398594934535208,10.601647149919609,9.503084610020228,9.546884034617925
Lejlighed,78.0,4,2,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Ja,none,Herlev,1-3 months,11.0,<1 month,9.441531454869693,6.398594934535208,10.540090836284206,9.441531454869693,9.488047863280759
Lejlighed,88.0,4,3,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Ja,none,Herlev,1-3 months,11.0,<1 month,9.488047863280759,6.478509642208569,10.586609649448985,9.488047863280759,9.536112711175099
Lejlighed,65.0,3,1,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Ja,none,Herlev,1-3 months,11.0,<1 month,9.409273194575334,6.111467339502679,10.50783084142058,9.409273194575334,9.44549154241467
Lejlighed,57.0,2,1,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Ja,none,Herlev,1-3 months,11.0,<1 month,9.259225769705994,5.860786223465865,10.357774570341576,9.259225769705994,9.292012520620208
Lejlighed,66.0,2,0,Ja,Nej,Nej,Nej,Nej,Nej,Ja,Nej,Ja,Ja,Ikke angivet,Ja,none,København SV,<1 month,11.0,<1 month,9.510519035757246,0.0,9.510519035757246,0.0,9.510519035757246
Lejlighed,87.0,3,2,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,C,Gentofte,1-3 months,11.0,<1 month,9.711176264112805,7.280008252884188,10.809748150372926,9.711176264112805,9.79540110267107
Lejlighed,55.0,2,3,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Nej,Ja,Ja,Ikke angivet,Ja,C,København Ø,<1 month,11.0,<1 month,9.305741456739435,6.2166061010848646,9.99884318585288,9.305741456739435,9.350189267092581
Lejlighed,78.0,2,6,Nej,Nej,Ja,Ja,Ikke angivet,Ikke angivet,Ja,Nej,Ja,Ja,Nej,Ja,A15,København SV,1-3 months,11.0,<1 month,9.6678285081515,6.68586094706836,10.766398604507042,9.6678285081515,9.717218213494077
Lejlighed,134.0,4,5,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Nej,Ja,Ja,Ikke angivet,Ja,B,København Ø,1-3 months,11.0,<1 month,10.239995502805316,6.90875477931522,11.338583982516495,10.239995502805316,10.275085591132715
Lejlighed,72.0,3,1,Nej,Ja,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Nej,Nej,B,Glostrup,1-3 months,11.0,<1 month,9.392745258631441,6.68586094706836,10.491301994830229,9.392745258631441,9.45727857185611
Lejlighed,53.0,2,1,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ikke angivet,C,København SV,<1 month,11.0,<1 month,9.259225769705994,6.2166061010848646,10.308985993422082,9.259225769705994,9.305741456739435
